"OBS"	"(YER_0/YER_0(-4)-1)*100"	"(YE_0/YE_0(-4)-1)*100"	"(PCR_0/PCR_0(-4)-1)*100"	"(ITR_0/ITR_0(-4)-1)*100"	"(MEITR_0/MEITR_0(-4)-1)*100"	"(GEITR_0/GEITR_0(-4)-1)*100"	"(GCR_0/GCR_0(-4)-1)*100"	"(XTR_0/XTR_0(-4)-1)*100"	"(MTR_0/MTR_0(-4)-1)*100"	"(XTR_0-MTR_0)/YER_0*100"	"(DIVR_0)/YER_0*100"	"(YFD_0/YFD_0(-4)-1)*100"	"(YED_0/YED_0(-4)-1)*100"	"(PCD_0/PCD_0(-4)-1)*100"	"(MTD_0/MTD_0(-4)-1)*100"	"(XTD_0/XTD_0(-4)-1)*100"	"(ITD_0/ITD_0(-4)-1)*100"	"(CPI_0/CPI_0(-4)-1)*100"	"(ULC_0/ULC_0(-4)-1)*100"	"(WRN_0/WRN_0(-4)-1)*100"	"(WR_0/WR_0(-4)-1)*100"	"(LN_0/LN_0(-4)-1)*100"	"(LPROD_0/LPROD_0(-4)-1)*100"	"100*LOG(YGA_0)"	"STN"	"100*UR_0"	"EUR_0"	"100*CAB_0/YE_0"	"(HDIR_0/HDIR_0(-4)-1)*100"	"(WHR_0/WHR_0(-4)-1)*100"	"(YET_0/YET_0(-4)-1)*100"
"2000Q1"	6.264900575678989	14.50123763470888	4.492198415005766	2.600343717673437	6.25949549707987	-20.93710683911723	4.700316861653264	20.5200015672139	12.97316940221669	-4.8567419509851	1.425693503352117	8.34979289094797	7.750759671735974	10.36321504366315	9.921205233134067	0.9159357727400508	9.551098754507837	NA	4.304143146331474	12.47874999023848	NA	-1.466120003435023	7.846053133585462	1.208175043602429	17.82	14.9062718026025	4.0579	NA	0.5531049228160168	NA	4.712485643999864
"2000Q2"	5.105173684500519	13.20488621563296	2.493678885539374	3.24245597758821	7.560186451685058	-26.13392699193251	5.392172652601057	24.46662804815147	11.09852187471154	-3.582335834298166	0.5944782657355396	7.71692105247086	7.706292894244937	10.01941219821525	16.09391737496138	6.57469073957524	8.313923948634439	NA	14.91235253107346	NA	NA	NA	NA	1.230052994868088	18.49333333333333	15.8811239267829	4.0892	NA	5.615593041373379	NA	4.804230349049576
"2000Q3"	3.228071957142875	11.01333825167168	2.565270653558804	1.413826523985096	6.329505450411821	-32.6319658471313	9.527980515592382	13.84969679293204	8.92881519405282	-3.948572297786646	0.1568881267520251	8.540100980344235	7.541811202054749	9.530536280610114	12.86742884975416	8.922060461964708	8.673845112845523	NA	-0.05811283972965153	NA	NA	NA	NA	0.4772889825461988	19.06333333333333	16.5998360964195	3.9708	NA	1.199016729944091	NA	4.812689614766574
"2000Q4"	4.21875975757724	7.436690973601889	2.2754211740313	2.682440648234885	-1.698053100558727	37.1668180025164	8.240449595224542	35.71772916507037	27.60491465266095	-5.328668105005867	0.1254818435289165	5.360661180890647	3.087669843231566	6.968628747441152	-4.5503214221846	-9.810008053211705	2.472232298089261	NA	0.2445093176965063	NA	NA	NA	NA	2.263174767302413	19.7	16.8404272753967	3.9157	NA	2.135358260532016	NA	4.740627265278685
"2001Q1"	3.165362806343119	6.203404120079981	1.568593752065661	-0.5235980646755012	-4.846275041889559	36.84672279802292	5.915524531743999	5.653777333915899	-3.585102485748493	-1.891459534228227	-0.5544895923787524	3.398913328043496	2.944826859611505	5.357022408608447	7.066959524946492	9.580018549815229	0.07726893159034631	NA	7.669970311218277	12.76304627735614	7.02945442025189	-1.494222467315753	4.730265970555037	-0.1642035111376785	18.52333333333333	17.078600223828	3.7738	NA	5.038574425923104	3.389705775770002	4.590941917754088
"2001Q2"	1.475584444788836	5.141264168679283	2.322238859197157	-6.940880088526824	-11.81654698358263	41.36314874321334	5.56289923286164	-0.3530725858072348	-3.994008418263395	-2.320367743118859	-0.190762242578529	4.149635644949923	3.612376064594014	4.306423415079541	-5.036124053105895	0.7990606492590091	0.3737511228614654	NA	6.684788201289349	10.45347947156121	5.893267025387239	-1.986779539328631	3.532547923477658	-1.648796047757487	17.08666666666667	18.0870172159949	3.484	NA	2.132753543144461	2.456865274520759	4.439370103271134
"2001Q3"	1.87560211262543	4.183344612166007	2.997757674629065	-10.41202782320834	-15.43304776847623	44.47526408145652	1.652614762348903	13.86690292314015	1.214073223864531	-0.4007657262476666	-0.1262757638704889	2.0443551390809	2.265255322848869	2.613411596742488	-2.830206110891287	-7.388815699001972	0.1965720534494952	NA	6.850593291259433	11.15873071499729	8.32768249810929	-2.072752561848978	4.03192653502058	-1.861054899074567	15.35666666666667	18.5994293283859	3.7611	NA	4.756502473453006	3.871341416316953	4.285874424959424
"2001Q4"	-0.7337515030693686	3.147903325113544	1.440117005076447	-13.15403774214903	-11.69290654905171	-21.3973469691392	3.522504892367917	-5.432127226385298	-14.71268294888736	-1.656256121989096	-0.0566696080020598	3.673312754600677	3.910347058499841	4.358024660899429	8.798044635252555	4.818435123596565	1.15154785368119	NA	6.130640810377574	8.881029920951811	4.334123106248366	-3.241266440352142	2.591512771027538	-2.520675262630293	13.39	19.1564616558346	3.6623	NA	1.05032836112906	4.130332097367706	4.130416597969111
"2002Q1"	0.8357837209796104	4.92658541932709	4.080451779517857	-10.51577446930511	-11.13770684857006	-6.777177889872799	2.028967525571934	-2.881526573996362	-2.125468435959665	-2.062920497941996	-0.6028777299212034	3.244960199990654	4.0568948317663	3.331884453294376	0.1504364043393158	2.905143230837104	1.384816461664284	NA	-0.5336901179665898	3.735634515382635	0.390731345145201	-3.314195188140712	4.292231850575967	-3.227958570247709	10.63666666666667	19.4115491914673	3.6182	NA	1.463147055975944	4.852128510265996	3.972957414004008
"2002Q2"	2.210875823061054	3.357659075710551	3.190667916827539	-8.003795066413655	-9.185619181441428	-0.6999245431551282	2.190088776134314	8.864232254068849	4.675058922838327	-1.177333608741574	0.04109566066977281	-0.1533436898798035	1.121977718530376	2.628010008115411	5.943240608466338	1.686975677885916	0.1364420909001796	NA	-4.048054239711208	1.236943602915463	-1.355445170465608	-3.124965412295166	5.507963179642039	-3.25731050757653	9.793333333333331	19.8831423927924	3.7169	NA	-0.9537775444605989	5.363031211580882	3.868246327899749
